2026-07-26T00:00:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T00:12:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T00:24:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T00:24:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T00:36:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T00:36:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T00:48:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T00:48:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:07:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:07:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:19:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:31:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:31:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:43:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:43:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:55:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T01:55:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:02:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:02:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:14:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:14:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:26:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:38:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:38:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:50:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T02:50:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:09:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:09:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:21:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:21:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:33:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:45:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:45:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:57:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T03:57:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:04:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:04:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:16:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:16:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:28:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:28:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:40:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:52:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T04:52:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:11:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:11:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:23:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:23:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:35:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:35:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:47:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:59:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T05:59:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:06:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:06:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:18:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:18:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:30:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:30:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:42:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:42:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T06:54:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:01:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:13:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:13:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:25:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:25:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:37:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:37:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:49:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T07:49:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:08:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:20:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:20:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:32:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:32:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:44:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:44:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:56:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T08:56:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T09:03:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T09:03:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T09:15:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T09:27:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T09:39:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T09:39:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T09:51:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T09:51:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T10:10:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T10:10:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T10:22:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T10:34:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T10:46:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T10:46:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T10:58:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
